Name,Description,Visibility,Date,Maturity_Level
SivaNagaRaju-27/QuantumKeyDistribution_AODV,,public,2023-01-15T08:59:52Z,1
jaswged/QuantumKeyDistributionSimulator,A simulation to show the process of setting up quantum key distribution.,public,2025-05-07T14:36:52Z,4
EmilMagni/QuantumKeyDistributionE91,My final coding challenge for the Qubit By Qubit Introduction to Quantum Computing course.,public,2025-05-07T14:34:12Z,3
ArunKannan47/quantum-key-distribution,C++ code for a Quantum Key Distribution network simulated using NS-3 Network Simulator,public,2024-05-07T02:29:20Z,2
jl-codes/Quantum-Key-Distribution,Quantum Key Distribution Simulation,public,2025-05-07T14:35:14Z,1
OwenDavisBower/Quantum-Key-Distribution,Simulates quantum key distribution.,public,2025-05-07T14:36:24Z,1
linuszheng/quantum-key-distribution,,public,2021-11-06T20:57:59Z,1
QubitIL/Awesome-Quantum-Key-Distribution,,public,2023-12-15T13:40:21Z,3
stephanevinet-q/HTSN,Quantum Key Distribution simulation code,public,2025-05-07T17:11:58Z,2
HungDo1291/satellite-quantum-key-distribution-python,,public,2023-03-05T11:07:07Z,3
Optical-Quantum-Communication-Theory/Using-Cascade-in-Quantum-Key-Distribution,,public,2025-05-07T16:48:05Z,1
guvvalavenkat/Online-voting-system-using-Quantum-Key-Distribution,,public,2025-03-11T18:37:55Z,4
SrikanthIITB/Symetric-Key-Algo-in-Quantum-Computing,Quantum Key Distribution implementation with Risk Analysis,public,2023-08-02T03:43:30Z,3
Optical-Quantum-Communication-Theory/SecurityProofForVariableLengthQuantumKeyDistribution,,public,2025-05-07T18:42:09Z,1
Optical-Quantum-Communication-Theory/Finite-Key-Analysis-of-Quantum-Key-Distribution-with-Characterized-Devices,,public,2025-04-23T17:45:42Z,1
JoaoRibeir01/Quantum-Key-distribution-with-polarization-states-generated-using-phase-modulators,Theoretical knowledges in the areas of photonics & optoeletronics are analyzed.,public,2024-05-11T21:38:55Z,1
chamiyeah/Secure-Key-Sharing-with-Quantum-Key-Distribution-Protocol---BBM92,Using quantum entanglement as a security application in a real world scenario,public,2024-04-10T18:53:17Z,1
drpeterrohde/TNet,Security analysis of trusted node quantum key distribution networks,public,2025-04-24T20:23:22Z,2
kiran-collab/Quantum-Bit-Error-Rate,Find QBER for Quantum Key Distribution and efficient photonic transmission,public,2025-05-07T18:38:27Z,2
RQC-QKD-Software/QRate-Client-API,API устройства квантового распределения ключа | Quantum key distribution device API,"public, archived",2023-01-27T20:49:35Z,1
Abdellah26ben/Secure_E-Voting_System,it will be based on blockchain and quantum key distribution.,public,2022-05-15T07:09:31Z,2
adamalderton/CVQKD_guard-band_postselection,"Investigating the security, optimisation and performance of guard-band postselection in continuous-variable quantum key distribution.",public,2025-05-07T18:20:27Z,1
Siddharthgolecha/Quiqsafe,Quiq is a instant group messaging equipped with Quantum Key Distribution to protect your messages from being read by someone else,public,2025-05-07T17:51:18Z,1
atharv-k/MAQAN,This is a repository for simulations of quantum key distribution protocols among two nodes and for a network of 5 nodes,public,2025-05-07T17:38:27Z,1
Sara-Gandelman/Hands-On-Quantum-Cryptography-Undergraduate-Experimentation-with-the-B92-Protocol,"This repository presents an educational emulation of the B92 Quantum Key Distribution protocol using pulsed lasers. It simplifies the setup for secure key exchange demonstrations, illustrating core quantum cryptography principles like eavesdropping detection and measurement disturbance in a lab-friendly environment.",public,2024-12-07T19:27:20Z,2
ssunduko/final-project-e91,Final Project for Harvard e91,public,2019-12-13T05:13:05Z,3
4df31/E91_tries,Simulación del protocolo de transmisión cuántica de clave E91,public,2024-04-23T23:18:20Z,1
iamneo-production/e91f6e51-4152-446b-afe4-3dd05c876e1b,https://sonarcloud.io/summary/overall?id=examly-test_e91f6e51-4152-446b-afe4-3dd05c876e1b,public,2023-07-18T05:23:09Z,2
ChattanoogaPublicLibrary/e911-scrape,Scraper for E911 Data,public,2018-03-11T03:46:54Z,2
craigtimmonswv/E911-Information,E911 Details,public,2023-11-09T17:57:43Z,1
Andyliang97/-E911-Localization-project,The E911 Localization project aims to improve smartphone location tracking in the Enhanced 911 system by providing accurate indoor location information and path in a quasi real-time application. ​,public,2024-12-07T08:33:43Z,2
Cheshta-Joshi/Quantum_Key_Distribution_Protocols,A basic simulation of E91 and B92 Quantum Key distribution protocols,public,2023-03-26T14:24:52Z,1
AlJohri/onondaga-e911,,public,2023-04-01T15:19:25Z,1
SatanicScripter/E91E4-krunker-css,New krunker css,public,2021-10-02T11:51:41Z,4
scriptvip/e912eff292e147be958ebc05c5f9f88f,,public,2024-10-01T07:40:18Z,4
UnofficialJuliaMirror/Hungarian.jl-e91730f6-4275-51fb-a7a0-7064cfbd3b39,"Last mirrored from https://github.com/Gnimuc/Hungarian.jl.git on 2019-11-18T22:31:43.429-05:00 by @UnofficialJuliaMirrorBot via Travis job 481.14 , triggered by Travis cron job on branch ""master""",public,2021-10-27T16:24:44Z,3
KUHLwasStolen/open-eye-drive-screen,Uses an old LCD from an Ender 3 (Pro) to display additional real-time information from KCAN on the dash of a BMW E92/E90/E91/E93,public,2025-05-01T14:45:20Z,1
Clockwork-Rat/BB84_Godot,"A Port of a game designed to teach the player about BB84 encryption, and some general concepts of Quantum Physics and Encryption.",public,2023-08-08T11:15:51Z,1
chenphys/qc_exp,BB84,public,2022-07-24T11:01:07Z,2
jKulrativid/BB84,Implementation on Bennett-Brassard 1984 Quantum Cryptography,public,2022-07-24T11:16:40Z,2
dragonpilee/bb84,BB84 protocol,public,2025-05-26T12:25:56Z,1
Burned65/BB84,,public,2022-07-24T11:07:32Z,2
vanbrandwijk/bb84,,public,2022-03-21T12:19:59Z,1
kibnakamoto/BB84,The first Quantum Key Derivation function. uses Symmetrical encryption algorithms such as AES,public,2023-01-31T20:15:47Z,4
Pritheesh/BB84,,public,2020-01-11T18:34:34Z,1
ssawarn/BB84-protocol-simulation,BB84 simulation using Qiksit,public,2023-12-13T05:03:18Z,2
jesperVB-dev/BB84-protocol,It is a python simulator that wil simulate how the BB84 protocol will behave when it is live.,public,2017-11-10T22:52:39Z,1
Bandar-F-Almutairi/BB84-chat,,public,2023-11-30T05:04:27Z,2
Rohit-Qu/Springer-book-chapter-code,BB84 protocol demonstration using Qiskit,public,2023-09-12T16:45:34Z,2
SAMeh-ZAGhloul/alice-bob-eve-Docker,BB84 alice-bob-eve-Docker,public,2024-12-22T12:07:05Z,1
rebekkaka/BB84-protocol,Simulation of the BB84-protocol,public,2024-05-07T02:26:34Z,4
iamrishabruh/BB84-DSL,"A domain‑specific language that replicates the PQC BB84 protocol, providing a streamlined syntax for quantum‑safe communication simulations. Built with Python, C, and Fortran.",public,2025-04-10T06:00:57Z,3
parth-raymagya/BB84-Protocol,BB84 Protocol is Quantum Key Distribution Protocol. It is used in quantum cryptography. Implemented in python using qiskit.,public,2025-05-05T14:27:19Z,4
CS-Saud/BB84-chat,,public,2023-08-18T12:33:08Z,3
GinaMuuss/bb84_demonstrator,3D print files for a contraption that can be used to demonstrate how quantum key distribution works.,public,2025-05-12T08:42:59Z,2
PanDoreS/BB84-Python,Cryptologie Quantique,public,2019-01-31T07:00:35Z,4
garethsion/BB84Lab,Analysis code for the BB84 laboratory component of PHASGQ03 of the MRES in Quantum Technologies at UCL.,public,2019-01-31T07:00:02Z,1
ramonje5/BB84-raspberry,BB84 Quantum Key Distribution Protocol implemented on two Raspberry Pis using MPI,public,2025-05-07T18:28:55Z,1
illusory-thinker/BB84-Simulation,"This is a python program to simulate BB84.The discriptions are all in Chinese,though.",public,2022-07-29T10:28:54Z,1
SrAntonio25/TFG_Protocolo_BB84,Simulaciones del Protocolo BB84 para TFG,public,2025-05-04T18:30:31Z,1
ekenozlu/BB84Simulation,"This simulation was designed and developed by Eken Özlü, Melisa Çevik and Elin Su Şentürk for the 2022-2023 academic year Capstone Project of Quantum Key Distribution in Bahçeşehir University.",public,2025-05-07T17:54:02Z,1
SaraPhysics/BB84-Protocol-Simulation,,public,2024-03-07T02:05:43Z,1
YUNA-dBu/bb84-decoy-lab,,public,2024-06-20T08:57:42Z,3
WalterHenri/ImplBB84,interative implementation of bb84 for academic purposes,public,2025-04-13T00:04:38Z,1
rachitverma1030/BB84_python-implementation,,public,2024-09-08T03:57:09Z,1
aThorp96/undergraduate_thesis,Simulating the Quantum Key Exchange protocol BB84,public,2025-05-07T15:01:15Z,2
Kowalikov/Chat_App_OTP_BB84,"Simple chat app in django based on BB84 cryptography protocol for ""Quantum Cryptography"" course.",public,2022-10-03T01:31:50Z,1
Enguenye/BB84_QuantumKeyDistribution,,public,2025-03-05T15:33:20Z,3
Risav25Pokhrel/BB84-Quantum-Key-Distribution,Capstone Task for QxQ 23/24,"public, archived",2024-12-02T03:00:14Z,1
Quantum-Valencia/CryptoBB84,Codigo empleado en la demostración del algoritmo BB84,public,2023-07-28T13:18:56Z,5
rneeraaj/-BB84-Quantum-Key-Distribution-Simulator,🔐 BB84 Quantum Key Distribution Simulator this is my first project,public,2025-04-23T12:07:59Z,3
EleftheriosM/Finite-Size-BB84-Selection-Method,,public,2023-09-02T10:45:48Z,1
Broden-Connolly/Bink-Chat,End-to end encrypted messaging app with BB84 quantum computing encryption,public,2024-05-10T13:59:03Z,1
seangarn32/Quantum-Key-Encryption,Encrypting and decrypting an image as Alice and Bob using BB84 symmetric keys,public,2024-01-23T21:32:01Z,3
rubenandrebarreiro/3d-object-modelling-bb84-quantum-key-distribution-protocol-scheme,,public,2024-08-12T19:57:35Z,3
owaisishtiaqsiddiqui/Qubit-by-Qubit-Capstone-Project,The following repository contains implementation of BB84 protocol from simplest to all cases.,public,2025-02-19T07:04:41Z,3
v-bezganovic/quantum-cryptography,"The model of the quantum key exchange protocol BB84, implemented with high-level programming language Silq",public,2023-08-04T09:38:28Z,3
aThorp96/BBChat,"End to end encrypted chat program that runs using, and helps visualize, the BB84 quantum key distribution protocol",public,2025-05-07T18:17:13Z,1
Abdullah-ElPsyKo/Quantum-Computing-Simulations,"The project features a quantum teleportation circuit, BB84 quantum key distribution, and a quantum entanglement bell state circuit.",public,2025-02-04T10:08:39Z,1
ParleSec/QuantumFieldKit,"High-fidelity quantum computing simulation platform for exploring BB84, Shor Code, Grover's Algorithm and other quantum protocols and algorithms",public,2025-05-24T13:36:45Z,1
artem-phys/russian-quantum-key-distribution,Quantum key distribution project with elementary BB84 realization. This project is the part of the Russian Quantum Tecnologies Roadmap,public,2023-07-06T23:30:36Z,3
Slygriyrsk/quantum-communication-simulator,This project features a Quantum Simulator upto 10 nodes which will show the internal working of how simulator works,public,2025-04-09T08:39:37Z,2
saisharan221/QuantumCryptoSim,"(Work in progress) QuantumCryptoSim is a Python-based simulation toolkit that demonstrates fundamental quantum cryptographic protocols, like the BB84 quantum key distribution protocol, using Qiskit and quantum simulators.",public,2025-05-07T18:31:34Z,1
calebluh/QuantumCryptographyResearch,"Notebook for Quantum Cryptography answering the question ""How does increasing depolarizing noise in a quantum channel affect the Quantum Bit Error Rate (QBER) and the length of the secure key generated by the BB84 protocol when simulated using Qiskit?""",public,2025-05-19T06:18:02Z,1
