Name,Description,Visibility,Date,Maturity_Level,Core_Features,Secondary_Features,Technical_Debt,Versioning,Maintenance
SivaNagaRaju-27/QuantumKeyDistribution_AODV,,public,2023-01-15T08:59:52Z,1,18,26,87,34,42
jaswged/QuantumKeyDistributionSimulator,A simulation to show the process of setting up quantum key distribution.,public,2025-05-07T14:36:52Z,4,72,74,48,76,78
EmilMagni/QuantumKeyDistributionE91,My final coding challenge for the Qubit By Qubit Introduction to Quantum Computing course.,public,2025-05-07T14:34:12Z,3,54,58,61,62,66
ArunKannan47/quantum-key-distribution,C++ code for a Quantum Key Distribution network simulated using NS-3 Network Simulator,public,2024-05-07T02:29:20Z,2,36,42,74,48,54
jl-codes/Quantum-Key-Distribution,Quantum Key Distribution Simulation,public,2025-05-07T14:35:14Z,1,18,26,87,34,42
OwenDavisBower/Quantum-Key-Distribution,Simulates quantum key distribution.,public,2025-05-07T14:36:24Z,1,18,26,87,34,42
linuszheng/quantum-key-distribution,,public,2021-11-06T20:57:59Z,1,18,26,87,34,42
QubitIL/Awesome-Quantum-Key-Distribution,,public,2023-12-15T13:40:21Z,3,54,58,61,62,66
stephanevinet-q/HTSN,Quantum Key Distribution simulation code,public,2025-05-07T17:11:58Z,2,36,42,74,48,54
HungDo1291/satellite-quantum-key-distribution-python,,public,2023-03-05T11:07:07Z,3,54,58,61,62,66
Optical-Quantum-Communication-Theory/Using-Cascade-in-Quantum-Key-Distribution,,public,2025-05-07T16:48:05Z,1,18,26,87,34,42
guvvalavenkat/Online-voting-system-using-Quantum-Key-Distribution,,public,2025-03-11T18:37:55Z,4,72,74,48,76,78
SrikanthIITB/Symetric-Key-Algo-in-Quantum-Computing,Quantum Key Distribution implementation with Risk Analysis,public,2023-08-02T03:43:30Z,3,54,58,61,62,66
Optical-Quantum-Communication-Theory/SecurityProofForVariableLengthQuantumKeyDistribution,,public,2025-05-07T18:42:09Z,1,18,26,87,34,42
Optical-Quantum-Communication-Theory/Finite-Key-Analysis-of-Quantum-Key-Distribution-with-Characterized-Devices,,public,2025-04-23T17:45:42Z,1,18,26,87,34,42
JoaoRibeir01/Quantum-Key-distribution-with-polarization-states-generated-using-phase-modulators,Theoretical knowledges in the areas of photonics & optoeletronics are analyzed.,public,2024-05-11T21:38:55Z,1,18,26,87,34,42
chamiyeah/Secure-Key-Sharing-with-Quantum-Key-Distribution-Protocol---BBM92,Using quantum entanglement as a security application in a real world scenario,public,2024-04-10T18:53:17Z,1,18,26,87,34,42
drpeterrohde/TNet,Security analysis of trusted node quantum key distribution networks,public,2025-04-24T20:23:22Z,2,36,42,74,48,54
kiran-collab/Quantum-Bit-Error-Rate,Find QBER for Quantum Key Distribution and efficient photonic transmission,public,2025-05-07T18:38:27Z,2,36,42,74,48,54
RQC-QKD-Software/QRate-Client-API,API устройства квантового распределения ключа | Quantum key distribution device API,"public, archived",2023-01-27T20:49:35Z,1,18,26,87,34,42
Abdellah26ben/Secure_E-Voting_System,it will be based on blockchain and quantum key distribution.,public,2022-05-15T07:09:31Z,2,36,42,74,48,54
adamalderton/CVQKD_guard-band_postselection,"Investigating the security, optimisation and performance of guard-band postselection in continuous-variable quantum key distribution.",public,2025-05-07T18:20:27Z,1,18,26,87,34,42
Siddharthgolecha/Quiqsafe,Quiq is a instant group messaging equipped with Quantum Key Distribution to protect your messages from being read by someone else,public,2025-05-07T17:51:18Z,1,18,26,87,34,42
atharv-k/MAQAN,This is a repository for simulations of quantum key distribution protocols among two nodes and for a network of 5 nodes,public,2025-05-07T17:38:27Z,1,18,26,87,34,42
